,time_on_train,time_on_train,time_on_train,time_on_test,time_on_test,time_on_test,alg_family
,min,mean,max,min,mean,max,size
alg_family,,,,,,,
CoClustering,0.01755666732788086,167.4521753979906,25766.2296333313,0.0548863410949707,51.086023043521564,11393.358883857727,5106
DELF_EF_RecommenderWrapper,23.94143915176392,10182.523096036912,37874.62845826149,1.511744260787964,1287.8228639364243,5642.562606096269,10
DELF_MLP_RecommenderWrapper,23.4353244304657,9493.476673030853,37403.214535236366,1.4955124855041504,1263.3066390037536,5647.987130641937,10
EASE_R_Recommender,0.0026595592498779297,13.849628091784675,454.1392765045166,0.05358338356018066,14.99018595434412,341.9704520702362,4376
GlobalEffects,0.0024709701538085933,0.4301980411305147,12.728573322296144,0.0524442195892334,639.5806781852947,8191.357314825059,85
IALSRecommender,0.6909046173095703,369.2972578008402,24283.54481005669,0.05458879470825195,10.255598093154838,3558.969311475754,3502
INeuRec_RecommenderWrapper,86.8843879699707,15524.709300279617,39790.34489440918,0.16002988815307614,5.534368306398392,21.606592655181885,8
ItemKNNCF,0.0020618438720703125,100.28375747323157,13617.510515213013,0.050830602645874016,159.02812814773768,8192.899661302567,12847
MatrixFactorization_AsySVD_Cython,0.025651931762695312,207.75533938138878,28463.52727460861,0.05475068092346192,40.36808477195709,13293.73528766632,4254
MatrixFactorization_BPR_Cython,0.02273249626159668,82.18542350773087,9635.263667821884,0.05546784400939941,69.98805578198612,12117.408729553224,5659
MatrixFactorization_FunkSVD_Cython,0.023346662521362305,172.6061926814601,15650.111933231356,0.05446720123291016,50.488467365201544,12793.543738365172,4938
Mult_VAE_RecommenderWrapper,3.1996102333068848,3691.8654595227804,37286.4845905304,0.05121564865112305,113.86496574387832,1064.5821993350985,68
NMFRecommender,0.006801843643188477,221.50310559977459,20369.45275664329,0.05597376823425293,87.41514777476053,11471.295282363892,2957
P3alphaRecommender,0.002742528915405273,78.16728309743834,6264.473410129547,0.0541377067565918,62.40302696459231,6563.457627534865,5816
PureSVDRecommender,0.0034270286560058594,3.580842537422703,353.1171553134918,0.05260920524597168,99.06266357100873,10393.312854290009,6132
RP3betaRecommender,0.0028073787689208984,80.44913085440457,7043.1731531620035,0.05298686027526856,61.23862342111135,7067.746515035628,5900
Random,0.001203298568725586,0.08761810975916245,2.3519179821014404,0.05678462982177735,937.672544224122,16529.63610291481,85
SLIMElasticNetRecommender,0.05986452102661133,142.9514109464184,25731.73537993431,0.05366992950439453,11.629995435640957,1816.6870422363281,4706
SLIM_BPR_Cython,0.028665065765380863,82.57488783972893,31063.867415428165,0.053818941116333015,21.89378189358866,1962.2537562847135,5176
SlopeOne,0.048464298248291016,17.72844468553861,470.2744662761688,0.06603074073791504,45.771331841746964,803.2465996742249,48
SpectralCF_RecommenderWrapper,20.64634108543396,346.5143576008933,1516.7987587451935,0.12015628814697266,6.163021155766079,22.799315929412842,7
TopPop,0.0013275146484375,0.1270932113423067,3.660059928894043,0.052064180374145515,626.5019195865183,7501.844089984894,85
UNeuRec_RecommenderWrapper,3.8030376434326167,3296.176438645619,38499.99091029167,0.04460859298706055,6.189134760600765,181.92453265190125,41
UserKNNCF,0.001711130142211914,73.27897176178593,30975.030311822884,0.05186653137207031,158.0729048275043,6327.458123207092,13097
